"id","mz","rt","annotation"
"M207.05T641.72",207.0547,641.72,""
"M393.12T645.89",393.1224,645.89,""
"M289.14T649.01",289.1381,649.01,""
"M213.07T652.92",213.0657,652.92,""
"M260.16T651.62",260.1642,651.62,""
"M297.14T656.95",297.1358,656.95,""
"M186.13T666.88",186.1308,666.88,""
"M214.12T663.32",214.1225,663.32,""
"M216.14T670.01",216.1384,670.01,""
"M227.08T670.26",227.0815,670.26,""
"M264.18T675.46",264.175,675.46,""
"M233.13T676.23",233.1326,676.23,""
"M191.09T676.49",191.0857,676.49,""
"M276.16T680.26",276.159,680.26,""
"M232.13T683.77",232.1333,683.77,""
"M1012.42T688.19",1012.4196,688.19,""
"M1012.54T689.35",1012.545,689.35,""
"M1157.05T687.92",1157.0497,687.92,""
"M900.15T689.22",900.1518,689.22,""
"M1156.91T690.64",1156.9069,690.64,""
"M1012.29T689.74",1012.2926,689.74,""
"M900.04T690",900.0408,690,""
"M1156.76T690.25",1156.7629,690.25,""
"M1012.67T693.51",1012.6712,693.51,""
"M225.07T698.07",225.066,698.07,""
"M207.06T699.1",207.0556,699.1,""
"M257.06T704.3",257.0558,704.3,""
"M226.18T703.76",226.18,703.76,""
"M288.2T705.59",288.1953,705.59,""
"M269.06T708.74",269.0559,708.74,""
"M325.07T739.09",325.0676,739.09,""
"M304.19T717.91",304.1904,717.91,""
"M206.03T721.29",206.0268,721.29,""
"M286.18T728.73",286.1799,728.73,""
"M181.08T724.14",181.0761,724.14,""
"M330.19T724.4",330.193,724.4,""
"M185.1T729.78",185.096,729.78,""
"M307.02T733.71",307.0208,733.71,""
"M404.23T734.62",404.2337,734.62,""
"M230.15T735.39",230.1536,735.39,""
"M255.08T740.91",255.0762,740.91,""
"M317.09T742.2",317.0915,742.2,""
"M446.19T745.32",446.1867,745.32,""
"M468.17T744.02",468.1683,744.02,""
"M321.1T746.09",321.1019,746.09,""
"M913.35T747.39",913.3464,747.39,""
"M891.36T747.39",891.364,747.39,""
"M328.19T781.65",328.1907,781.65,""
"M929.31T750.51",929.3113,750.51,""
"M344.19T754.17",344.1859,754.17,""
"M231.1T763.28",231.1017,763.28,""
"M185.1T763.53",185.0961,763.53,""
"M250.08T762.76",250.0754,762.76,""
"M288.2T765.88",288.1962,765.88,""
"M258.15T768.47",258.1493,768.47,""
"M270.19T766.9",270.1851,766.9,""
"M274.27T767.94",274.2741,767.94,""
"M328.14T772.12",328.1425,772.12,""
"M655.28T772.63",655.2753,772.63,""
"M242.15T789.6",242.1542,789.6,""
"M309.13T780.23",309.131,780.23,""
"M353.16T780.48",353.1571,780.48,""
"M113.06T779.69",113.0596,779.69,""
"M304.19T786.75",304.1907,786.75,""
"M184.08T792.48",184.0755,792.48,""
"M260.16T796.66",260.1648,796.66,""
"M244.17T796.4",244.17,796.4,""
"M312.2T794.57",312.1951,794.57,""
"M159.07T795.61",159.0681,795.61,""
"M503.33T797.17",503.3271,797.17,""
"M519.32T799.12",519.3229,799.12,""
"M161.1T800.82",161.096,800.82,""
"M302.17T804.83",302.1749,804.83,""
"M201.09T806.25",201.0909,806.25,""
"M286.18T808.85",286.1804,808.85,""
"M276.16T811.73",276.1598,811.73,""
"M172.17T813.55",172.1698,813.55,""
"M432.26T815.37",432.265,815.37,""
"M325.07T819.96",325.0675,819.96,""
"M272.16T822.08",272.1648,822.08,""
"M314.21T825.99",314.2121,825.99,""
"M288.2T824.42",288.1956,824.42,""
"M284.16T840.09",284.1648,840.09,""
"M326.18T833.85",326.1758,833.85,""
"M358.2T834.1",358.2022,834.1,""
"M274.18T842.43",274.1806,842.43,""
"M358.2T835.92",358.2016,835.92,""
"M258.19T853.38",258.1855,853.38,""
"M330.21T844.12",330.2068,844.12,""
"M286.18T864.03",286.1808,864.03,""
"M270.19T873.15",270.1858,873.15,""
"M268.17T875.49",268.1697,875.49,""
"M256.17T851.43",256.1699,851.43,""
"M310.18T853.38",310.1806,853.38,""
"M250.12T856.23",250.1189,856.23,""
"M437.19T860.52",437.1947,860.52,""
"M415.21T859.73",415.2126,859.73,""
"M324.16T867.42",324.1574,867.42,""
"M178.05T867.16",178.05,867.16,""
"M302.18T879.54",302.1751,879.54,""
"M316.23T869.51",316.2265,869.51,""
"M316.23T871.07",316.2276,871.07,""
"M571.35T875.76",571.3534,875.76,""
"M198.09T874.45",198.0914,874.45,""
"M346.2T881.21",346.2014,881.21,""
"M452.28T896.1",452.2779,896.1,""
"M170.1T885.9",170.0967,885.9,""
"M332.22T890.1",332.2219,890.1,""
"M314.21T892.19",314.2112,892.19,""
"M300.2T925.27",300.196,925.27,""
"M288.2T902.1",288.1965,902.1,""
"M300.2T894.8",300.1969,894.8,""
"M474.26T899.22",474.26,899.22,""
"M284.2T904.43",284.2014,904.43,""
"M575.38T904.16",575.385,904.16,""
"M184.08T908.6",184.0759,908.6,""
"M292.17T907.81",292.1676,907.81,""
"M272.2T910.42",272.2017,910.42,""
"M541.38T909.89",541.3787,909.89,""
"M543.4T910.68",543.3952,910.68,""
"M563.36T910.94",563.3616,910.94,""
"M342.24T912.12",342.2433,912.12,""
"M646.36T912.5",646.3562,912.5,""
"M312.2T929.44",312.1963,929.44,""
"M327.34T917.18",327.3378,917.18,""
"M304.19T921.87",304.1914,921.87,""
"M286.18T921.6",286.1808,921.6,""
"M360.22T923.7",360.217,923.7,""
"M358.24T929.17",358.2375,929.17,""
"M672.37T930.21",672.3713,930.21,""
"M499.29T936.54",499.2879,936.54,""
"M314.21T944.87",314.2119,944.87,""
"M296.2T958.11",296.2015,958.11,""
