names(shortlist),med.mz,med.rt,library annotation,putative annotation
M323.09T586.42,323.0879867556,586.424,NA,NA
M485.11T612.66,485.1122448748,612.663,NA,NA
M215.12T626.24,215.1175280972,626.2355,NA,NA
M263.12T624.79,263.1177370782,624.788,NA,NA
M224.08T640.69,224.0814964523,640.686,phenanzine-1-carboxamide,NA
M207.05T641.72,207.0547078122,641.716,phenazine-1-carboxamide (fragment),NA
M393.12T645.89,393.1223701656,645.8935,NA,NA
M289.14T649.01,289.1380693482,649.0135,NA,NA
M213.07T652.92,213.0657333881,652.9205,NA,NA
M260.16T651.62,260.1641830012,651.6235,HQNO,NA
M297.14T656.95,297.1358309885,656.953,NA,NA
M186.13T666.88,186.1308068813,666.877,NA,NA
M214.12T663.32,214.1224656556,663.317,NA,C5:1-HQ
M216.14T670.01,216.138444754,670.0075,NA,C5-HQ
M227.08T670.26,227.0815113741,670.2605,NA,NA
M264.18T675.46,264.175020067,675.456,nortriptyline ISTD,NA
M233.13T676.23,233.1326481703,676.232,nortriptyline ISTD (fragment),NA
M191.09T676.49,191.0856915485,676.486,nortriptyline ISTD (fragment),NA
M276.16T680.26,276.1589939328,680.259,nortriptyline ISTD +Na,NA
M232.13T683.77,232.1333093963,683.768,NA,C5-QNO
M1012.42T688.19,1012.4195987793,688.1855,NA,NA
M1012.54T689.35,1012.5449776265,689.3495,NA,NA
M1157.05T687.92,1157.0496882725,687.921,NA,NA
M900.15T689.22,900.151754127,689.215,NA,NA
M1156.91T690.64,1156.9069367314,690.643,NA,NA
M1012.29T689.74,1012.2926052594,689.742,NA,NA
M900.04T690,900.0407868982,689.997,NA,NA
M1156.76T690.25,1156.7628814601,690.251,NA,NA
M1012.67T693.51,1012.6712450991,693.5065,NA,NA
M225.07T698.07,225.0660445789,698.069,phenazine-1-carboxylic acid,NA
M207.06T699.1,207.0555522322,699.097,phenazine-1-carboxylic acid (fragment),NA
M257.06T704.3,257.0558145462,704.295,NA,NA
M226.18T703.76,226.1800271598,703.765,NA,NA
M288.2T705.59,288.1953023923,705.591,NA,C9-QNO
M269.06T708.74,269.0558792733,708.739,"phenazine-1,6-dicarboxylic acid",NA
M325.07T739.09,325.0676488749,739.093,NA,pyochelin
M304.19T717.91,304.19043126,717.913,NA,NA
M206.03T721.29,206.0267827092,721.286,NA,NA
M286.18T728.73,286.1798546282,728.7345,NA,C9:1-QNO
M181.08T724.14,181.0760573022,724.141,NA,NA
M330.19T724.4,330.1930052526,724.396,NA,NA
M185.1T729.78,185.0959588823,729.7755,NA,naproxen (fragment)
M307.02T733.71,307.0207634365,733.7075,NA,NA
M404.23T734.62,404.2336820203,734.6165,NA,NA
M230.15T735.39,230.1536101355,735.389,NA,C6-HQ
M255.08T740.91,255.0762420725,740.91,NA,NA
M317.09T742.2,317.0914788879,742.201,NA,NA
M446.19T745.32,446.1867213877,745.3235,glipizide ISTD,NA
M468.17T744.02,468.1682907936,744.022,glipizide ISTD +Na,NA
M321.1T746.09,321.1019482712,746.094,NA,NA
M913.35T747.39,913.346389766,747.389,NA,NA
M891.36T747.39,891.3640002111,747.389,NA,NA
M328.19T781.65,328.1906726713,781.6505,NA,NA
M929.31T750.51,929.3112885424,750.515,NA,NA
M344.19T754.17,344.1858504586,754.17,NA,NA
M231.1T763.28,231.1017252009,763.279,naproxen ISTD,NA
M185.1T763.53,185.0961316772,763.534,naproxen ISTD (fragment),NA
M250.08T762.76,250.0753976975,762.756,NA,NA
M288.2T765.88,288.1962075129,765.8755,NA,C9-QNO
M258.15T768.47,258.1492962906,768.467,NA,C7:1-QNO
